Manufacturer,Model,Engine size,Fuel type,Year of manufacture,Mileage,Price,car_age,price_per_km,mileage_per_year,engine_size_category,ID
VW,Golf,2.0,Hybrid,2018,25017,36957,8,1.48,25017,Small,65
Ford,Fiesta,1.2,Petrol,1996,111771,2543,30,0.02,111771,Small,66
Toyota,Prius,1.4,Hybrid,2016,43893,29946,10,0.68,43893,Small,67
Toyota,Yaris,1.0,Petrol,2007,118788,5306,19,0.04,118788,Small,68
Toyota,Prius,1.4,Hybrid,2016,43130,30085,10,0.7,43130,Small,69
VW,Passat,1.6,Diesel,1991,247911,1052,35,0.0,247911,Small,70
Ford,Focus,2.0,Petrol,1991,272161,854,35,0.0,272161,Small,71
VW,Passat,1.6,Diesel,1994,179361,2371,32,0.01,179361,Small,72
Ford,Fiesta,1.0,Petrol,2009,66424,7616,17,0.11,66424,Small,73
Ford,Mondeo,1.8,Diesel,1999,104544,6058,27,0.06,104544,Small,74
Toyota,Yaris,1.0,Hybrid,1999,80589,4937,27,0.06,80589,Small,75
Ford,Mondeo,1.4,Diesel,2000,128137,4771,26,0.04,128137,Small,76
Porsche,718 Cayman,2.0,Petrol,1992,169078,3074,34,0.02,169078,Small,77
VW,Passat,1.6,Petrol,2016,64344,23641,10,0.37,64344,Small,78
VW,Passat,1.6,Diesel,1993,176456,2274,33,0.01,176456,Small,79
Ford,Focus,1.4,Petrol,1985,179526,1105,41,0.01,179526,Small,80
Toyota,RAV4,1.8,Hybrid,1999,162425,5396,27,0.03,162425,Small,81
Porsche,718 Cayman,2.4,Petrol,2021,14070,69526,5,4.94,14070,Medium,82
BMW,Z4,2.4,Petrol,1993,226492,1799,33,0.01,226492,Medium,83
Ford,Fiesta,1.2,Petrol,1995,183332,1330,31,0.01,183332,Small,84
VW,Golf,2.0,Petrol,1990,118673,2543,36,0.02,118673,Small,85
Toyota,Prius,1.0,Hybrid,1993,333629,478,33,0.0,333629,Small,86
VW,Passat,1.8,Diesel,1991,155034,2526,35,0.02,155034,Small,87
Toyota,Yaris,1.2,Petrol,1990,200892,947,36,0.0,200892,Small,88
Ford,Focus,1.8,Petrol,2020,22371,40336,6,1.8,22371,Small,89
Ford,Mondeo,1.6,Diesel,2015,21834,28435,11,1.3,21834,Small,90
Ford,Focus,1.0,Petrol,1985,223615,633,41,0.0,223615,Small,91
Ford,Mondeo,1.6,Diesel,2007,100798,10008,19,0.1,100798,Small,92
BMW,Z4,2.4,Petrol,1997,103758,6532,29,0.06,103758,Medium,93
Ford,Fiesta,1.2,Petrol,1997,156919,1901,29,0.01,156919,Small,94
Toyota,Yaris,1.0,Petrol,2008,42621,9591,18,0.23,42621,Small,95
VW,Passat,1.4,Diesel,2010,64359,15563,16,0.24,64359,Small,96
Ford,Focus,2.0,Petrol,2002,180048,4086,24,0.02,180048,Small,97
Ford,Mondeo,1.6,Hybrid,2005,142689,7247,21,0.05,142689,Small,98
VW,Passat,1.6,Diesel,2018,22122,36634,8,1.66,22122,Small,99
BMW,M5,4.4,Petrol,1987,226046,2956,39,0.01,226046,Large,100
Ford,Focus,1.4,Petrol,1987,236315,763,39,0.0,236315,Small,101
BMW,M5,4.4,Petrol,2008,109941,31711,18,0.29,109941,Large,102
Ford,Fiesta,1.0,Petrol,2009,61615,7859,17,0.13,61615,Small,103
Ford,Focus,1.8,Diesel,1989,297635,585,37,0.0,297635,Small,104
Toyota,Prius,1.8,Hybrid,1995,112413,5238,31,0.05,112413,Small,105
Ford,Fiesta,1.2,Petrol,2008,96911,6318,18,0.07,96911,Small,106
VW,Passat,1.6,Diesel,1990,223561,1229,36,0.01,223561,Small,107
VW,Passat,1.4,Diesel,2020,21413,39310,6,1.84,21413,Small,108
BMW,Z4,2.2,Petrol,2018,32319,40706,8,1.26,32319,Medium,109
Toyota,RAV4,2.4,Petrol,2021,6829,66031,5,9.67,6829,Medium,110
VW,Polo,1.6,Petrol,2010,108111,7878,16,0.07,108111,Small,111
Ford,Mondeo,1.6,Diesel,1998,137896,4132,28,0.03,137896,Small,112
Ford,Focus,1.6,Petrol,2013,66163,18269,13,0.28,66163,Small,113
VW,Passat,1.6,Diesel,2010,66410,16414,16,0.25,66410,Small,114
BMW,Z4,2.2,Petrol,2014,61332,26084,12,0.43,61332,Medium,115
Toyota,RAV4,2.4,Petrol,2016,34379,40646,10,1.18,34379,Medium,116
Porsche,911,3.5,Petrol,2003,107705,24378,23,0.23,107705,Large,117
VW,Golf,1.8,Diesel,2014,28530,23034,12,0.81,28530,Small,118
VW,Passat,1.6,Diesel,2015,57933,24207,11,0.42,57933,Small,119
BMW,Z4,2.4,Petrol,1997,146910,4671,29,0.03,146910,Medium,120
Toyota,Prius,1.4,Hybrid,2001,152067,5040,25,0.03,152067,Small,121
BMW,M5,4.0,Petrol,2003,123913,19474,23,0.16,123913,Large,122
Toyota,RAV4,1.8,Hybrid,2005,119097,11398,21,0.1,119097,Small,123
VW,Golf,1.2,Diesel,2008,97150,8066,18,0.08,97150,Small,124
Ford,Focus,2.0,Petrol,2010,86405,14567,16,0.17,86405,Small,125
Toyota,Yaris,1.2,Hybrid,2001,85798,5959,25,0.07,85798,Small,126
VW,Golf,2.0,Diesel,2015,50628,22743,11,0.45,50628,Small,127
BMW,Z4,3.0,Petrol,2014,80934,26708,12,0.33,80934,Medium,128
VW,Polo,1.0,Petrol,1998,97043,3036,28,0.03,97043,Small,129
Toyota,Yaris,1.0,Petrol,2001,58770,5438,25,0.09,58770,Small,130
VW,Passat,1.8,Petrol,2008,84855,12800,18,0.15,84855,Small,131
VW,Passat,1.6,Diesel,2014,50898,23677,12,0.47,50898,Small,132
Ford,Focus,1.6,Diesel,1998,152532,3704,28,0.02,152532,Small,133
Toyota,RAV4,1.8,Hybrid,2001,212899,3981,25,0.02,212899,Small,134
VW,Golf,1.6,Petrol,2001,140596,3988,25,0.03,140596,Small,135
Porsche,718 Cayman,2.4,Petrol,1988,256489,1183,38,0.0,256489,Medium,136
BMW,X3,3.0,Petrol,2018,20441,53379,8,2.61,20441,Medium,137
Toyota,Yaris,1.2,Petrol,1986,147185,1145,40,0.01,147185,Small,138
BMW,M5,4.4,Petrol,1997,172030,9255,29,0.05,172030,Large,139
Ford,Focus,1.8,Petrol,2005,149956,6094,21,0.04,149956,Small,140
VW,Passat,1.6,Diesel,2009,134426,9345,17,0.07,134426,Small,141
Toyota,RAV4,1.8,Hybrid,2010,91688,19491,16,0.21,91688,Small,142
Toyota,Prius,1.8,Hybrid,2005,41969,16500,21,0.39,41969,Small,143
VW,Passat,2.0,Petrol,2013,38210,25482,13,0.67,38210,Small,144
Toyota,Prius,1.0,Hybrid,2012,46972,19023,14,0.4,46972,Small,145
BMW,X3,2.0,Diesel,2018,27389,44018,8,1.61,27389,Small,146
VW,Polo,2.0,Petrol,1995,128234,2778,31,0.02,128234,Small,147
VW,Passat,1.4,Diesel,2008,112309,9705,18,0.09,112309,Small,148
VW,Polo,1.4,Petrol,1984,225099,489,42,0.0,225099,Small,149
Porsche,Cayenne,2.6,Diesel,2003,105361,15069,23,0.14,105361,Medium,150
Ford,Focus,1.4,Petrol,2005,97979,8039,21,0.08,97979,Small,151
Ford,Mondeo,1.6,Petrol,2016,40104,26053,10,0.65,40104,Small,152
VW,Passat,2.0,Petrol,1993,158259,2822,33,0.02,158259,Small,153
Porsche,718 Cayman,4.0,Petrol,2018,20634,70913,8,3.44,20634,Large,154
BMW,Z4,2.0,Petrol,2010,98644,14728,16,0.15,98644,Small,155
Ford,Focus,2.0,Petrol,1991,176358,2025,35,0.01,176358,Small,156
Ford,Mondeo,1.8,Diesel,1998,69223,7267,28,0.1,69223,Small,157
BMW,X3,3.0,Petrol,2008,20860,27342,18,1.31,20860,Medium,158
Toyota,RAV4,2.0,Petrol,2009,59936,19881,17,0.33,59936,Small,159
VW,Polo,1.4,Petrol,2012,58214,11916,14,0.2,58214,Small,160
Ford,Fiesta,1.4,Petrol,2020,33832,22982,6,0.68,33832,Small,161
VW,Golf,1.2,Diesel,2009,104436,8174,17,0.08,104436,Small,162
BMW,Z4,2.0,Petrol,1992,249377,1246,34,0.0,249377,Small,163
Porsche,Cayenne,2.6,Petrol,2003,143603,10667,23,0.07,143603,Medium,164
Ford,Mondeo,1.8,Diesel,2007,115932,9481,19,0.08,115932,Small,165
Ford,Fiesta,1.4,Petrol,2016,61363,14854,10,0.24,61363,Small,166
VW,Polo,2.0,Petrol,2016,17810,23636,10,1.33,17810,Small,167
Toyota,RAV4,1.8,Hybrid,2021,8120,68163,5,8.39,8120,Small,168
VW,Polo,2.0,Petrol,1990,142888,1771,36,0.01,142888,Small,169
Toyota,Yaris,1.0,Petrol,2009,68094,8721,17,0.13,68094,Small,170
Ford,Mondeo,2.0,Diesel,2016,51724,28482,10,0.55,51724,Small,171
VW,Polo,1.0,Petrol,1998,224106,1062,28,0.0,224106,Small,172
Ford,Fiesta,1.0,Petrol,2009,83796,6768,17,0.08,83796,Small,173
Toyota,RAV4,2.2,Hybrid,2012,91325,24685,14,0.27,91325,Medium,174
VW,Passat,2.0,Diesel,1997,173089,3416,29,0.02,173089,Small,175
Ford,Focus,2.0,Diesel,2013,75451,20153,13,0.27,75451,Small,176
Toyota,Prius,1.0,Hybrid,2006,103766,8671,20,0.08,103766,Small,177
Ford,Mondeo,1.6,Diesel,2014,82221,18224,12,0.22,82221,Small,178
VW,Passat,1.6,Diesel,1985,19000,4129,41,0.22,19000,Small,179
Toyota,RAV4,2.4,Hybrid,2012,94338,25232,14,0.27,94338,Medium,180
Porsche,Cayenne,2.6,Diesel,2019,20147,76182,7,3.78,20147,Medium,181
VW,Polo,1.2,Diesel,2018,37411,19649,8,0.53,37411,Small,182
Toyota,Yaris,1.2,Petrol,2004,179016,2914,22,0.02,179016,Small,183
Porsche,718 Cayman,2.0,Petrol,1999,206584,3542,27,0.02,206584,Small,184
Toyota,Prius,1.0,Hybrid,1996,87664,5001,30,0.06,87664,Small,185
Ford,Mondeo,1.8,Diesel,2016,29439,30886,10,1.05,29439,Small,186
Ford,Focus,1.0,Diesel,2006,120770,6429,20,0.05,120770,Small,187
Ford,Mondeo,1.6,Diesel,1998,246137,1614,28,0.01,246137,Small,188
Toyota,Prius,1.4,Hybrid,2012,72136,19139,14,0.27,72136,Small,189
Ford,Focus,2.0,Diesel,2001,147478,5272,25,0.04,147478,Small,190
BMW,Z4,2.4,Petrol,1997,149908,4558,29,0.03,149908,Medium,191
BMW,M5,4.4,Petrol,1997,66783,20664,29,0.31,66783,Large,192
Ford,Mondeo,1.4,Diesel,2020,18929,37720,6,1.99,18929,Small,193
VW,Golf,1.4,Diesel,2013,53405,16365,13,0.31,53405,Small,194
VW,Golf,1.4,Diesel,2001,136439,4049,25,0.03,136439,Small,195
VW,Polo,1.2,Petrol,2001,110779,3670,25,0.03,110779,Small,196
VW,Golf,2.0,Petrol,1991,188856,1528,35,0.01,188856,Small,197
Toyota,Yaris,1.0,Hybrid,2013,12867,19025,13,1.48,12867,Small,198
Ford,Focus,2.0,Diesel,1994,162098,2930,32,0.02,162098,Small,199
Ford,Mondeo,1.6,Diesel,2013,79521,17370,13,0.22,79521,Small,200
Ford,Mondeo,1.8,Diesel,2011,97523,14195,15,0.15,97523,Small,201
VW,Golf,1.6,Petrol,1994,104541,3304,32,0.03,104541,Small,202
VW,Golf,1.6,Petrol,2016,57451,19835,10,0.35,57451,Small,203
Toyota,Yaris,1.2,Petrol,2003,104794,4947,23,0.05,104794,Small,204
Toyota,Yaris,1.0,Petrol,2002,227469,1517,24,0.01,227469,Small,205
VW,Passat,1.8,Diesel,2006,81107,12073,20,0.15,81107,Small,206
Ford,Fiesta,1.2,Petrol,2008,79566,7142,18,0.09,79566,Small,207
Toyota,Yaris,1.4,Petrol,2007,85068,8043,19,0.09,85068,Small,208
Toyota,RAV4,2.0,Hybrid,2000,123838,8299,26,0.07,123838,Small,209
Toyota,RAV4,2.2,Hybrid,2014,66511,33453,12,0.5,66511,Medium,210
VW,Passat,1.6,Diesel,1999,207639,2584,27,0.01,207639,Small,211
BMW,X3,3.0,Diesel,1990,150375,3510,36,0.02,150375,Medium,212
VW,Passat,1.4,Diesel,2013,70458,18256,13,0.26,70458,Small,213
Toyota,Prius,1.8,Hybrid,2016,44550,33820,10,0.76,44550,Small,214
VW,Passat,1.6,Petrol,2012,53390,19428,14,0.36,53390,Small,215
Porsche,Cayenne,2.6,Diesel,2015,46563,50028,11,1.07,46563,Medium,216
Ford,Fiesta,1.0,Petrol,2002,184586,1916,24,0.01,184586,Small,217
Ford,Fiesta,1.2,Petrol,2004,160915,2933,22,0.02,160915,Small,218
Toyota,Yaris,1.0,Hybrid,2022,5179,36086,4,6.97,5179,Small,219
Toyota,Yaris,1.4,Hybrid,2003,181179,3468,23,0.02,181179,Small,220
VW,Polo,1.4,Petrol,2019,23181,23449,7,1.01,23181,Small,221
Toyota,Yaris,1.4,Hybrid,2016,66611,19942,10,0.3,66611,Small,222
VW,Golf,1.8,Hybrid,1999,105901,5810,27,0.05,105901,Small,223
Ford,Focus,1.4,Diesel,2014,24652,24721,12,1.0,24652,Small,224
Toyota,Yaris,1.0,Petrol,1995,255196,737,31,0.0,255196,Small,225
VW,Polo,1.0,Petrol,2014,24579,14089,12,0.57,24579,Small,226
Toyota,RAV4,1.8,Petrol,2021,21354,52908,5,2.48,21354,Small,227
VW,Golf,2.0,Petrol,1991,117615,2741,35,0.02,117615,Small,228
Ford,Focus,2.0,Petrol,1999,135077,4855,27,0.04,135077,Small,229
Toyota,RAV4,2.0,Hybrid,2006,94325,15441,20,0.16,94325,Small,230
Ford,Fiesta,1.4,Petrol,2010,96320,7831,16,0.08,96320,Small,231
VW,Golf,1.6,Petrol,1990,137231,1967,36,0.01,137231,Small,232
Toyota,RAV4,2.2,Hybrid,2015,35448,43415,11,1.22,35448,Medium,233
Toyota,RAV4,2.0,Hybrid,1995,142544,5129,31,0.04,142544,Small,234
BMW,M5,4.0,Petrol,2012,46755,60859,14,1.3,46755,Large,235
VW,Polo,1.6,Petrol,2001,97700,4668,25,0.05,97700,Small,236
BMW,M5,5.0,Petrol,2016,42059,91415,10,2.17,42059,Large,237
VW,Polo,1.6,Petrol,2012,48576,13537,14,0.28,48576,Small,238
VW,Polo,1.4,Petrol,2006,76691,7067,20,0.09,76691,Small,239
Toyota,RAV4,1.8,Hybrid,2017,15473,50215,9,3.25,15473,Small,240
Ford,Focus,2.0,Petrol,2000,110549,6273,26,0.06,110549,Small,241
Ford,Fiesta,1.0,Petrol,1992,183342,994,34,0.01,183342,Small,242
Ford,Focus,1.4,Petrol,2012,94259,13169,14,0.14,94259,Small,243
Ford,Mondeo,1.4,Diesel,2018,42017,28904,8,0.69,42017,Small,244
VW,Golf,1.2,Petrol,1990,159547,1420,36,0.01,159547,Small,245
VW,Polo,1.4,Petrol,2000,73749,4833,26,0.07,73749,Small,246
Toyota,Yaris,1.0,Hybrid,2009,63292,10802,17,0.17,63292,Small,247
VW,Passat,1.4,Diesel,2013,71904,18080,13,0.25,71904,Small,248
Ford,Mondeo,1.4,Diesel,2006,159969,5504,20,0.03,159969,Small,249
Toyota,Yaris,1.2,Petrol,2013,75588,11861,13,0.16,75588,Small,250
Ford,Mondeo,1.4,Diesel,2018,18334,33119,8,1.81,18334,Small,251
VW,Polo,1.2,Petrol,1995,175506,1460,31,0.01,175506,Small,252
Toyota,Prius,1.8,Hybrid,1985,235671,949,41,0.0,235671,Small,253
VW,Polo,1.0,Petrol,1996,144412,1846,30,0.01,144412,Small,254
BMW,M5,4.4,Petrol,2008,79613,39453,18,0.5,79613,Large,255
BMW,M5,4.4,Petrol,2004,108396,24571,22,0.23,108396,Large,256
Porsche,Cayenne,3.0,Petrol,2013,68093,39031,13,0.57,68093,Medium,257
Ford,Mondeo,1.6,Hybrid,2019,30152,40482,7,1.34,30152,Small,258
Porsche,911,3.0,Petrol,2015,44761,77091,11,1.72,44761,Medium,259
Toyota,Yaris,1.0,Petrol,2012,52525,11780,14,0.22,52525,Small,260
Toyota,Yaris,1.0,Petrol,2005,145747,3754,21,0.03,145747,Small,261
Ford,Mondeo,1.8,Diesel,2016,16626,33172,10,2.0,16626,Small,262
Ford,Mondeo,1.4,Diesel,1998,155019,3364,28,0.02,155019,Small,263
Toyota,Prius,1.4,Hybrid,1996,188308,2658,30,0.01,188308,Small,264
Ford,Focus,2.0,Petrol,2001,72923,8773,25,0.12,72923,Small,265
VW,Golf,1.4,Diesel,2007,104718,7710,19,0.07,104718,Small,266
VW,Polo,2.0,Petrol,1992,258967,731,34,0.0,258967,Small,267
VW,Golf,1.2,Hybrid,2000,168963,3069,26,0.02,168963,Small,268
Ford,Focus,2.0,Diesel,1993,90439,4786,33,0.05,90439,Small,269
Toyota,Prius,1.4,Hybrid,1991,213652,1523,35,0.01,213652,Small,270
Toyota,RAV4,2.2,Hybrid,2012,100268,23140,14,0.23,100268,Medium,271
VW,Golf,2.0,Petrol,2019,26479,32650,7,1.23,26479,Small,272
VW,Passat,1.4,Diesel,2009,109384,10605,17,0.1,109384,Small,273
Ford,Focus,2.0,Petrol,2014,39083,25884,12,0.66,39083,Small,274
VW,Passat,2.0,Petrol,2002,73945,9749,24,0.13,73945,Small,275
Ford,Fiesta,1.4,Petrol,2008,114007,6011,18,0.05,114007,Small,276
Toyota,Prius,1.8,Hybrid,2003,125903,8052,23,0.06,125903,Small,277
VW,Polo,1.4,Petrol,1998,126188,2884,28,0.02,126188,Small,278
Porsche,911,3.0,Petrol,1990,178957,5344,36,0.03,178957,Medium,279
Ford,Mondeo,1.6,Diesel,1996,118258,4217,30,0.04,118258,Small,280
Toyota,Yaris,1.4,Hybrid,2004,100476,7076,22,0.07,100476,Small,281
Ford,Focus,1.0,Petrol,1985,288486,347,41,0.0,288486,Small,282
VW,Passat,2.0,Diesel,1997,50121,8564,29,0.17,50121,Small,283
Porsche,911,2.6,Petrol,2003,130068,17702,23,0.14,130068,Medium,284
VW,Golf,1.8,Petrol,1992,135772,2412,34,0.02,135772,Small,285
VW,Golf,1.8,Petrol,2010,70562,12942,16,0.18,70562,Small,286
Ford,Focus,2.0,Diesel,2003,139651,6417,23,0.05,139651,Small,287
Ford,Focus,1.6,Petrol,2004,106068,7575,22,0.07,106068,Small,288
Porsche,718 Cayman,2.0,Petrol,2019,18978,54090,7,2.85,18978,Small,289
VW,Polo,1.6,Diesel,2000,85142,5015,26,0.06,85142,Small,290
Ford,Mondeo,1.6,Diesel,2012,64490,17978,14,0.28,64490,Small,291
Toyota,Yaris,1.0,Petrol,1993,121417,2045,33,0.02,121417,Small,292
Ford,Focus,1.0,Petrol,2018,19640,26712,8,1.36,19640,Small,293
Toyota,RAV4,2.2,Hybrid,2009,99740,19019,17,0.19,99740,Medium,294
Toyota,Yaris,1.4,Petrol,2004,159279,3718,22,0.02,159279,Small,295
Ford,Focus,1.4,Petrol,1996,86718,4782,30,0.06,86718,Small,296
Porsche,718 Cayman,4.0,Petrol,1993,150186,5438,33,0.04,150186,Large,297
BMW,M5,4.4,Petrol,2019,20736,118474,7,5.71,20736,Large,298
VW,Polo,1.4,Petrol,1986,70039,1948,40,0.03,70039,Small,299
BMW,X3,3.0,Diesel,2017,30285,49606,9,1.64,30285,Medium,300
Toyota,Yaris,1.2,Petrol,2016,38795,18326,10,0.47,38795,Small,301
Toyota,RAV4,2.4,Hybrid,1995,203197,3359,31,0.02,203197,Medium,302
Toyota,RAV4,2.4,Petrol,2011,80839,21637,15,0.27,80839,Medium,303
VW,Golf,1.4,Petrol,2002,174535,3010,24,0.02,174535,Small,304
VW,Passat,1.6,Petrol,1993,131899,3125,33,0.02,131899,Small,305
Ford,Focus,1.0,Petrol,2021,14063,33627,5,2.39,14063,Small,306
BMW,Z4,2.4,Petrol,1996,149048,4294,30,0.03,149048,Medium,307
VW,Polo,1.0,Petrol,1990,145249,1229,36,0.01,145249,Small,308
Toyota,Prius,1.0,Hybrid,2007,61357,12446,19,0.2,61357,Small,309
Toyota,Yaris,1.2,Hybrid,1997,13000,7167,29,0.55,13000,Small,310
Ford,Fiesta,1.4,Petrol,1986,263206,384,40,0.0,263206,Small,311
Toyota,Yaris,1.4,Petrol,2010,52847,12174,16,0.23,52847,Small,312
VW,Passat,1.6,Diesel,2009,100782,12083,17,0.12,100782,Small,313
VW,Polo,1.0,Petrol,1999,193458,1491,27,0.01,193458,Small,314
Toyota,Yaris,1.2,Petrol,1997,174912,1892,29,0.01,174912,Small,315
Ford,Mondeo,2.0,Hybrid,1998,169431,4074,28,0.02,169431,Small,316
Toyota,Prius,1.0,Hybrid,1993,269373,882,33,0.0,269373,Small,317
BMW,X3,2.0,Diesel,2009,129764,11999,17,0.09,129764,Small,318
Toyota,Prius,1.0,Hybrid,1998,104481,5060,28,0.05,104481,Small,319
Ford,Mondeo,2.0,Diesel,2008,105468,11556,18,0.11,105468,Small,320
BMW,M5,4.0,Petrol,2000,153596,12574,26,0.08,153596,Large,321
Ford,Fiesta,1.4,Petrol,1993,84644,2739,33,0.03,84644,Small,322
VW,Golf,1.6,Petrol,2001,205054,2309,25,0.01,205054,Small,323
VW,Polo,1.0,Petrol,1993,159497,1335,33,0.01,159497,Small,324
Ford,Focus,1.8,Petrol,2002,166994,4332,24,0.03,166994,Small,325
VW,Polo,1.4,Petrol,1997,143465,2352,29,0.02,143465,Small,326
Ford,Mondeo,1.6,Diesel,2015,59927,22621,11,0.38,59927,Small,327
Porsche,718 Cayman,4.0,Petrol,2005,132662,13935,21,0.11,132662,Large,328
Ford,Fiesta,1.4,Petrol,2014,54142,13615,12,0.25,54142,Small,329
Ford,Fiesta,1.0,Petrol,2001,92561,3732,25,0.04,92561,Small,330
Ford,Mondeo,1.6,Petrol,2010,80723,13432,16,0.17,80723,Small,331
Toyota,Yaris,1.2,Petrol,1985,73419,1861,41,0.03,73419,Small,332
Ford,Focus,1.6,Petrol,1995,84529,4856,31,0.06,84529,Small,333
Ford,Focus,1.6,Diesel,2022,5750,49870,4,8.67,5750,Small,334
Toyota,RAV4,2.4,Hybrid,2008,144529,13154,18,0.09,144529,Medium,335
Toyota,RAV4,1.8,Hybrid,2014,45184,34655,12,0.77,45184,Small,336
VW,Polo,1.0,Petrol,1992,214329,777,34,0.0,214329,Small,337
Toyota,Prius,1.8,Hybrid,1997,188455,3218,29,0.02,188455,Small,338
VW,Polo,1.4,Petrol,1994,182166,1394,32,0.01,182166,Small,339
